bytes_sent,bytes_recv,duration,failed_auth,num_conns,hour,dst_port,protocol,country,encryption,hosts_affected,attack_type
933,2905,88.8,0,4,15,HTTP,TCP,Domestic,TLS,0,Normal
7378,5652,50.4,4,12,4,HTTP,TCP,Domestic,TLS,0,Normal
12074,14011,44.3,2,12,14,Other,TCP,Domestic,TLS,0,Normal
241,7,127.9,1,11,13,HTTPS,TCP,Domestic,TLS,0,Normal
7186,1985,31.0,1,6,8,HTTP,TCP,Domestic,None,0,Normal
3358,27992,28.1,0,6,2,HTTPS,TCP,Domestic,SSL,0,Normal
7717,1175,10.2,3,11,2,RDP,TCP,Domestic,TLS,0,Normal
58,9933,27.3,4,9,5,HTTPS,UDP,EU,TLS,0,Normal
6985,228,3.0,1,7,9,HTTPS,UDP,Domestic,None,0,Normal
914,7424,43.3,3,9,21,HTTPS,TCP,EU,TLS,0,Normal
832,3482,92.4,1,6,22,HTTPS,TCP,Domestic,SSL,0,Normal
1589,6366,17.5,2,9,1,HTTPS,TCP,EU,TLS,0,Normal
1732,8455,1.3,0,9,9,SSH,TCP,Domestic,SSL,0,Normal
913,7599,5.7,0,10,14,Other,TCP,Domestic,SSL,0,Normal
4840,948,3.7,2,17,3,RDP,TCP,Asia,None,21,DoS
13660,6542,461.1,1,4,16,RDP,UDP,Asia,TLS,25,Ransomware
706,5986,13.1,1,9,0,RDP,TCP,Domestic,SSL,0,Normal
5030,7311,85.5,2,4,9,Other,TCP,Domestic,None,27,Ransomware
3590,8418,140.1,0,12,9,HTTP,TCP,EU,TLS,0,Normal
699,6504,100.5,1,7,7,HTTPS,TCP,Asia,TLS,0,Normal
1055,987,26.9,1,10,2,HTTPS,TCP,Domestic,SSL,0,Normal
8371,754,10.1,2,20,15,HTTP,UDP,Other,TLS,0,DoS
2169,114,22.3,1,11,12,HTTPS,ICMP,Domestic,TLS,0,Normal
2304,4936,0.7,2,5,21,HTTP,TCP,Domestic,SSL,0,Normal
1153,134551,159.8,0,4,7,HTTPS,TCP,Asia,TLS,23,Phishing
2880,726,102.8,2,12,1,HTTPS,TCP,Domestic,TLS,0,Normal
1176,586,39.7,4,13,16,SSH,TCP,Domestic,TLS,5,Brute_Force
2419,928,19.7,1,7,14,HTTP,TCP,Domestic,SSL,0,Normal
6362,16904,13.6,1,5,14,Other,TCP,Domestic,None,33,Phishing
