source,target
32768,32768
2,2
131075,131075
32775,32775
9,9
9,21376
9,60032
9,76824
9,141764
9,142034
9,142743
65545,65545
32781,13586
32781,32781
131086,17702
131086,131086
98318,98318
131092,77026
131092,131092
22,22
131094,131094
65560,24556
65560,65560
24,24
24,13586
24,141844
32794,32794
32795,32795
32795,86479
32793,32793
131101,131101
65566,65566
65567,17702
65567,51601
65567,65567
65567,97626
131104,131104
98334,98334
131099,60032
131099,131099
32804,32804
32804,141817
32805,24556
32805,32805
32805,107170
65573,60032
65573,65573
65577,65577
65578,65578
98345,98345
98345,141848
44,44
44,141817
44,142049
65582,65582
98352,98352
48,48
48,2041
48,50646
48,135478
48,141768
48,141773
48,141817
48,141949
48,142264
131122,131122
131122,141896
51,51
51,31212
51,54681
51,108850
51,141740
51,141764
51,141768
51,141777
51,141817
51,141844
51,141896
51,142109
51,142202
51,142311
51,142312
51,142355
51,142662
51,142668
51,142714
131123,131123
98358,24556
98358,61525
98358,98358
55,55
131129,42931
131129,131129
131129,141900
65594,65594
65594,77026
131133,131133
131134,51601
131134,131134
65599,65599
65599,141868
64,64
64,2041
64,8833
64,12590
64,13586
64,30528
64,102804
64,122158
64,135478
64,141739
64,141754
64,141768
64,141770
64,141773
64,141841
64,141844
64,141848
64,141863
64,141896
64,141935
64,141936
64,141944
64,142075
64,142149
64,142159
64,142181
64,142215
64,142355
64,142666
65601,51601
65601,65601
32834,32834
32834,141739
32834,141944
32835,32835
32835,70792
32835,141907
32835,141949
32835,141956
65603,65603
131138,76824
131138,131138
65606,17702
65606,24556
65606,35954
65606,42931
65606,61525
65606,65606
65606,65981
65606,77026
65606,87616
65606,107170
65606,141817
98372,98372
32840,32840
32840,65981
32840,141841
32840,141896
32840,141959
65609,65609
98376,51601
98376,98376
75,75
75,2041
75,4590
75,8115
75,8833
75,12590
75,13586
75,21178
75,21450
75,26569
75,30528
75,31212
75,56658
75,58225
75,70792
75,76380
75,85571
75,97626
75,102804
75,108850
75,122158
75,135478
75,141739
75,141740
75,141746
75,141754
75,141755
75,141764
75,141768
75,141770
75,141773
75,141777
75,141789
75,141791
75,141817
75,141823
75,141841
75,141844
75,141848
75,141863
75,141868
75,141874
75,141896
75,141900
75,141935
75,141936
75,141944
75,141949
75,141959
75,141983
75,142002
75,142003
75,142022
75,142030
75,142060
75,142071
75,142095
75,142109
75,142120
75,142149
75,142159
75,142163
75,142181
75,142186
75,142192
75,142200
75,142202
75,142203
75,142214
75,142215
75,142222
75,142237
75,142252
75,142279
75,142282
75,142291
75,142329
75,142333
75,142355
75,142357
75,142366
75,142389
75,142435
75,142445
75,142549
75,142567
75,142622
75,142628
75,142660
75,142662
75,142689
75,142698
75,142714
75,142719
75,142727
75,142736
75,142807
70,70
70,8115
70,13586
70,21450
70,26569
70,27592
70,108850
70,141740
70,141754
70,141764
70,141768
70,141770
70,141773
70,141777
70,141841
70,141863
70,141868
70,141896
70,141900
70,141907
70,141949
70,142003
70,142030
70,142105
70,142109
70,142149
70,142163
70,142192
70,142237
98381,98381
65614,65614
65614,141896
65618,65618
83,83
83,8115
83,21178
83,86479
83,141764
83,141789
83,142096
83,142329
83,142331
83,142714
65619,60032
65619,65619
65621,65621
32860,17702
32860,32860
93,93
131166,131166
65630,65630
65630,142049
131168,24556
131168,131168
131169,131169
32866,32866
98403,60032
98403,98403
65635,65635
32861,32861
104,104
104,23110
104,65981
104,141740
104,141844
104,142002
104,142105
104,142502
104,142640
104,142718
32873,32873
32873,77026
98411,51601
98411,98411
108,108
108,141754
108,141773
108,141777
108,141844
108,142186
108,142697
32879,32879
32879,141949
32879,141959
98416,35954
98416,98416
98417,98417
98417,107170
131186,42931
131186,131186
65650,65650
98419,98419
131189,86479
131189,87616
131189,131189
98421,98421
98421,141817
32886,32886
65657,42931
65657,65657
65657,65981
65657,87616
123,123
123,108850
123,141791
65663,65663
131200,131200
131201,51601
131201,77026
131201,87616
131201,107170
131201,131201
32896,32896
131,131
32900,32900
131206,77026
131206,131206
131206,142214
131209,131209
65674,65674
98441,98441
98444,77026
98444,98444
142,142
142,51601
144,144
146,146
146,76824
146,107170
146,142034
65684,65684
151,151
151,2041
151,12590
151,13586
151,30528
151,50646
151,51601
151,60032
151,97626
151,102804
151,135478
151,141746
151,141754
151,141770
151,141773
151,141791
151,141848
151,141874
151,141896
151,141907
151,141932
151,141949
151,141956
151,141983
151,142060
151,142095
151,142096
151,142105
151,142159
151,142163
151,142166
151,142186
151,142192
151,142202
151,142214
151,142282
151,142329
151,142366
152,152
131224,131224
131226,131226
98459,24556
98459,98459
153,153
153,142163
32925,17702
32925,32925
65693,65693
65693,142163
159,159
159,12590
159,13586
159,30528
159,54681
159,56658
159,141739
159,141754
159,141764
159,141770
159,141773
159,141777
159,141817
159,141868
159,141900
159,141935
159,141944
159,141949
159,142096
159,142105
159,142186
159,142192
159,142355
159,142366
159,142389
159,142445
159,142524
131229,131229
131233,131233
98465,98465
65703,65703
65703,77026
32936,32936
98471,98471
98471,142192
131242,131242
171,171
171,26569
171,141739
171,141768
131244,131244
131245,131245
98478,30528
98478,98478
65711,18362
65711,65711
65712,65712
98481,98481
131250,131250
131250,141874
98482,60032
98482,98482
65716,65716
65716,65981
65716,107170
98484,98484
98484,141768
180,180
180,2041
180,4590
180,8115
180,8833
180,12590
180,13586
180,18362
180,26569
180,30528
180,31212
180,50646
180,70792
180,108850
180,122158
180,135478
180,141620
180,141740
180,141746
180,141754
180,141764
180,141768
180,141773
180,141777
180,141816
180,141817
180,141841
180,141844
180,141874
180,141896
180,141907
180,141932
180,141935
180,141944
180,141949
180,141959
180,142034
180,142049
180,142060
180,142071
180,142075
180,142095
180,142105
180,142159
180,142163
180,142166
180,142184
180,142187
180,142192
180,142210
180,142214
180,142215
180,142279
180,142282
180,142287
180,142291
180,142311
180,142312
180,142329
180,142333
180,142355
180,142366
180,142435
180,142445
180,142524
180,142549
180,142567
180,142590
180,142612
180,142628
180,142651
180,142662
180,142668
180,142669
180,142678
180,142689
180,142714
180,142719
180,142727
180,142736
180,142765
180,142775
180,142786
180,142837
180,142863
180,143029
182,182
182,142034
65719,65719
32953,32953
32953,60032
32948,32948
131259,131259
32957,32957
191,191
191,2041
191,4590
191,8115
191,12590
191,18362
191,21376
191,21450
191,26569
191,30528
191,54681
191,70792
191,97626
191,102804
191,141739
191,141754
191,141768
191,141773
191,141817
191,141841
191,141844
191,141848
191,141863
191,141868
191,141896
191,141907
191,141932
191,141935
191,141944
191,141949
191,141956
191,141983
191,142002
191,142022
191,142034
191,142060
191,142096
191,142105
191,142149
191,142159
191,142166
191,142171
191,142181
191,142187
191,142192
191,142202
191,142203
191,142214
191,142282
191,142287
191,142311
191,142312
191,142329
191,142331
191,142333
191,142355
191,142366
191,142399
191,142524
191,142549
191,142561
191,142567
191,142612
191,142685
191,142698
191,142719
191,142725
191,142837
191,143030
191,143063
32959,32959
65728,65728
192,192
65731,65731
65736,60032
65736,65736
98509,51601
98509,98509
98509,141764
32975,32975
32975,141935
98513,98513
65745,65745
65749,65749
32983,32983
65755,65755
32989,32989
32989,142163
98525,98525
131295,131295
224,224
224,12590
224,26569
224,27592
224,30528
224,54681
224,97626
224,122158
224,141740
224,141746
224,141764
224,141768
224,141770
224,141777
224,141817
224,141841
224,141863
224,141896
224,141900
224,141932
224,141935
224,141936
224,141944
224,141949
224,141959
224,141983
224,142002
224,142022
224,142105
224,142109
224,142149
224,142159
224,142163
224,142184
224,142192
224,142215
224,142252
224,142282
224,142291
98528,60032
98528,98528
98528,141739
32992,32992
32996,17702
32996,32996
32996,54681
32996,77026
230,230
230,141817
131304,131304
98536,98536
65771,65771
98540,98540
98541,98541
33005,33005
33007,33007
33007,141754
33007,141764
33007,141773
33007,141936
33007,142159
33007,142214
33007,142392
131314,131314
33010,2041
33010,33010
33010,141844
65783,65783
131320,131320
98551,98551
33016,33016
33016,60032
131321,131321
131321,142640
33022,33022
131326,131326
131329,131329
33026,33026
259,259
259,2041
259,141791
259,141874
259,142184
259,142202
33028,33028
131333,131333
65799,17702
65799,65799
265,265
265,60032
266,266
266,70792
266,141817
266,142689
33038,17702
33038,33038
33038,87616
271,271
271,42931
271,77026
271,142163
98574,98574
65808,65808
65810,65810
98579,98579
33043,33043
33043,141844
33043,142279
65814,42931
65814,61525
65814,65814
65814,86479
33047,33047
33047,51601
33047,87616
33047,141848
65815,65815
98587,98587
98588,98588
98588,141844
65821,65821
33056,24556
33056,33056
33056,107170
288,288
65824,65824
131363,77026
131363,131363
131369,131369
131370,131370
131372,131372
65838,65838
65838,141764
305,305
65844,65844
65844,141777
65844,142149
33076,33076
33076,51601
98614,98614
98614,141791
65846,65846
33081,33081
33081,141844
65850,35954
65850,65850
33085,33085
33085,60032
33085,87616
318,318
318,141754
318,141773
318,141791
318,141896
318,142049
318,142149
318,142237
131392,131392
321,321
33090,33090
65859,65859
33092,33092
131398,131398
131398,141739
65862,65862
65862,141817
65862,141949
65862,142163
65863,65863
98631,98631
33098,33098
33098,60032
98635,51601
98635,98635
33100,33100
131403,131403
131406,17702
131406,24556
131406,42931
131406,60032
131406,61525
131406,107170
131406,131406
339,339
339,12590
339,13586
339,21376
339,21450
339,23110
339,26569
339,27592
339,35987
339,51601
339,54681
339,76824
339,87870
339,88521
339,102804
339,108850
339,122158
339,127121
339,141739
339,141740
339,141746
339,141754
339,141755
339,141764
339,141768
339,141770
339,141773
339,141777
339,141791
339,141811
339,141816
339,141817
339,141841
339,141848
339,141863
339,141868
339,141874
339,141896
339,141900
339,141932
339,141935
339,141936
339,141944
339,141949
339,141956
339,141959
339,142002
339,142003
339,142022
339,142030
339,142034
339,142049
339,142060
339,142096
339,142105
339,142109
339,142147
339,142149
339,142159
339,142163
339,142176
339,142184
339,142186
339,142189
339,142192
339,142200
339,142203
339,142210
339,142214
339,142222
339,142237
339,142252
339,142286
339,142287
339,142291
339,142331
339,142354
339,142355
339,142358
339,142366
339,142389
339,142392
339,142399
339,142445
339,142468
339,142470
339,142496
339,142502
339,142524
339,142569
339,142571
339,142624
339,142640
339,142644
339,142660
339,142666
339,142678
339,142685
339,142713
339,142718
339,142719
339,142736
339,142743
339,142765
339,142774
339,142775
339,142779
339,142784
339,142785
339,142807
339,142886
339,142893
339,142905
339,142906
339,142928
339,142933
339,142955
339,142998
339,143019
339,143059
131412,131412
98646,98646
98646,107170
33111,33111
98648,98648
131417,131417
131425,131425
33123,33123
33124,33124
33124,50646
65893,65893
98662,98662
65894,65894
65895,65895
361,361
361,21376
33130,33130
65899,65899
131427,131427
98670,98670
131440,131440
33137,33137
370,370
370,2041
370,8833
370,21178
370,54681
370,135478
370,141773
370,141823
370,141841
370,141949
370,142202
370,142355
370,142366
370,142662
33140,33140
33140,142105
33141,33141
33141,42931
374,374
374,35954
374,65981
374,77026
374,87616
65909,65909
65909,142163
98677,98677
98687,98687
65920,65920
385,385
385,2041
385,8115
385,8833
385,12590
385,60032
385,76380
385,141764
385,141789
385,141848
385,142034
385,142049
385,142095
385,142109
385,142166
385,142192
385,142214
385,142279
385,142311
385,142329
385,142355
385,142725
385,142727
385,142786
33154,33154
33154,42931
387,387
387,2041
387,8115
387,8833
387,18362
387,21450
387,26569
387,122158
387,141754
387,141764
387,141768
387,141773
387,141789
387,141817
387,141823
387,141841
387,141844
387,141863
387,141868
387,141900
387,141907
387,141932
387,141935
387,141944
387,141949
387,142002
387,142003
387,142095
387,142105
387,142149
387,142163
387,142181
387,142184
387,142192
387,142202
387,142329
387,142357
387,142399
387,142567
387,142628
387,142662
388,388
131460,131460
131462,131462
131462,141789
98695,98695
98695,141874
131464,107170
131464,131464
65928,65928
33161,33161
33161,141739
33161,142366
131469,131469
98704,60032
98704,98704
33174,33174
98711,42931
98711,98711
33175,33175
131481,24556
131481,51601
131481,87616
131481,131481
131482,86479
131482,131482
33178,33178
131480,131480
131485,131485
65947,65947
415,415
415,141848
415,141907
415,141944
415,141959
415,142210
415,142215
416,416
416,86479
416,141754
416,141764
416,141773
416,141777
416,141817
416,141896
416,141900
416,141949
416,142096
416,142105
416,142159
98719,98719
33183,33183
419,419
420,420
420,2041
420,8115
420,21450
420,108850
420,135478
420,141740
420,141754
420,141764
420,141770
420,141773
420,141817
420,141841
420,141844
420,141863
420,141896
420,141907
420,141932
420,141936
420,141949
420,141956
420,141959
420,142149
420,142163
420,142186
420,142210
420,142264
420,142286
420,142329
420,142392
420,142567
420,142662
420,142765
131493,42931
131493,131493
131494,131494
131495,131495
65959,65959
65959,141935
65959,142286
98729,98729
33191,33191
423,423
423,26569
423,141777
423,141817
423,141874
65964,65964
65963,65963
33198,24556
33198,33198
33198,107170
33198,142034
131497,131497
33200,33200
33200,142389
131504,131504
131504,141764
131506,131506
98737,98737
98740,12590
98740,77026
98740,98740
131508,131508
131508,141817
65974,65974
65969,65969
65969,141868
65969,141932
65976,65976
441,441
441,12590
441,24556
441,141754
441,141773
441,141817
441,141896
441,142237
33211,33211
131515,131515
65981,622
65981,790
65981,866
65981,1164
65981,2471
65981,2778
65981,2829
65981,2862
65981,3361
65981,3808
65981,4640
65981,4668
65981,5051
65981,5588
65981,6014
65981,6356
65981,6887
65981,7700
65981,10083
65981,10355
65981,10853
65981,10931
65981,11251
65981,11373
65981,11616
65981,11743
65981,11995
65981,12445
65981,12837
65981,13590
65981,13691
65981,13841
65981,14168
65981,14872
65981,14978
65981,15217
65981,15402
65981,16401
65981,16415
65981,16975
65981,17330
65981,17580
65981,17922
65981,18080
