text	label
assign roles oracle for entity thursday july pm assign roles hi please assign roles administration entity kind regards engineer	HR Support
oracle expense app sync issues sent friday march expense app sync issues have using app happily for while but when go into get error when tries sync failed please ensure server name name password correct have tried entering password but still get error server name looks correct changed thanks manager en	Administrative rights
upgrade from to upgrade dear constant struggle disk approximately free minimum files kept past unable install larger ides visual studio download testing purposes had find times minimum mine upgraded well thank senior test lead	Administrative rights
urgent request known pipeline for not visible pas sent wednesday july re urgent request known pipeline for visible importance high hi could you please check why known pipeline for client visible there open opportunity code assigned awaiting with interest your response thank you best regards programme portfolio officer	Internal Project
creation of common mailbox creation common mailbox hi please create common mailbox bulgarian please create mailbox please mailbox best regards chief accountant	Storage
access to mailbox wednesday july pm mailbox hello dear please provide mailbox members members also please add please find attached kind regards discipline lead	Storage
incorrect and costs calculations pas for and sent wednesday incorrect costs calculations for importance high hello we have problem calculating total projects costs revenues starting please example for revenues below being added up totals projects please investigate thanks manager	Hardware
ms visual studio license wednesday pm visual studio license dear recently changed installed vs professional had seems installed trial version had subscription allocated please advise thanks senior architect	Access
no os available the software center os available software center sent wednesday november os available software center hi checking for some have any os available software center any help please check print screen br manager	Administrative rights
new purchase po purchase po dear purchased hard rubber slim lite glass lite please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator	Purchase
po po dear purchased requested by flash drive verbatim store please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator	Purchase
password reset wednesday good morning tried which has expired link give opportunity please help kind regards fin building floor street se attention originates hello requested user instance want please disregard link expire did please notify administrator ref msg please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found	Access
belgrade users password never expires tuesday november users never expires importance high hello pointed out users never expires option active removed unfortunately compiled include users identify also by deactivating option expire immediately give heads thank	Access
weekly renewal weekly renewal dear please be advised guest successfully changed quotes following devices none failed change reason connection timed out reason connection timed out case you found any devices under failed list or if any other errors were reported please contact have great ahead	Hardware
new project code pas wednesday pm re client setup hello please find attached regards client setup hello please fill attached form back regards analyst ext tuesday pm re client setup hello please come back ask him fill form thank kind regards analyst friday pm client setup queue thank analyst community builder ext friday client setup hello please help setting client corresponding pre code client name cards lead pre code please let require additional information thanks	Internal Project
extend project code pas wednesday extend codes hi please kind extend code until st december thanks	Internal Project
new purchase po purchase po dear purchased pc sd cl dual intel series nm sequential mb sequential write mb random random write please log allocation please take consideration mandatory receipts section order receive item ordered how video kind regards administrator	Purchase
outlook password problems sent monday password problems hi there morning having following problem when try open keeps asking for password seems be unhappy with what enter still displays need password haven changed anything recently think nothing expired recently access works if reaches you then can still send please advise what should thanks best regards manager frankfurt main frankfurt main information confidential be legally privileged intended solely for addressee any opinions expressed mine	Administrative rights
change of project manager oracle july pm re change approved thanks head july change hi kindly assignment buzz points copy actual pm regards colombia	Miscellaneous
oracle time wednesday february pm hi please submit period march unpaid leave maternity leave thanks head testing	HR Support
new starter bucharest tuesday re starter form hello please help by filling out starter form thank ext	HR Support
visitor cards for thursday pm visitor cards dear please help granting secure area visitor cads tower morning visitor visitor visitor visitor remind once restricted again effective cob initial thanks officer	Access
culling outlook appointments friday appointments number appointments made by has left diary way additionally keep getting recurring invite drinks how rid chief officer	Administrative rights
new starter re attached thanks head communication engagement please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance contents information strictly prohibited unlawful received communication error please notify immediately by responding communication then delete integrity communication has maintained nor communication free viruses interceptions interference appreciate assistance preserving confidentiality correspondence thank friday pm hi please help by filling thank regards	Hardware
update for cal wednesday february update cal hi please cal thank kind regards senior software developer	Administrative rights
receipt notification on receipt hello please activate po receipt report user testing way match option help checking setup please assign thanks lot analyst	Purchase
problems with upgrading to windows re problems with upgrading hello could you please ask raise incident ticket for then assign fix issue regards senior engineer en sent wednesday november problems with upgrading hello have problem with upgrading nothing displayed software center operating there other steps be executed automation tester en	Administrative rights
windows upgrade data backup re upgrade has started hi increase drive make backup upgrade please additional few days allow backup restore regards pm upgrade has started importance high regards upgrade has started importance high kind regards infrastructure ext phone subsidiaries separate entity has liability entity acts omissions	Administrative rights
cannot receive sent thursday issues related mailbox dear writing you because facing issue related mailbox able send but receiving any mails since yesterday have access other accounts seem function properly therefore consider issue refreshed mailbox several times unfortunately with result thanks regards accountant	Storage
windows update assistance update defer hello want update postponed until after december reasons enough disk additional required machine moving enough working december please advise thank	Administrative rights
internal audit forbidden software tuesday december pm forbidden software hi checked report forbidden software december please find report looks colleagues having games based file sharing file store clients installed assets please reminder ask these forbidden please keep mind has thanks	Administrative rights
allocation of a wireless mouse friday october pm allocation wireless mouse hi please record helped today provided wireless mouse thanks	Purchase
write access request location write location hello write location users reason meeting notes documentation location mentioned currently rights thank analyst	Storage
read access please hr mobility monitoring friday november re please hi link mobility monitoring needs folder thanks planning officer november please hi please provide link kind regards administrator	Storage
access to unique permissions folder not working minute la one ca si la sent wednesday march access unique permissions folder working importance high hi can you please investigate why cannot access below folder unique permissions because only needs access folder granted him contribute access directly opportunities opp if requests access approve automatically included members grants him access whole site thanks officer en	Storage
traveler adaptors july pm traveler adaptors hello hereby make adaptors colleagues thank much best regards	Hardware
reception new delivery hello received items pro po intend po po po please advise please log thank engineer	Purchase
please allow me access on console please allow console hello please allowing console managing hosts which related physical host thank engineer	HR Support
new client report area friday october pm client report area dear unable client report area reports complete client reports please provide update area regards	HR Support
po tuesday hi please log installation install recently purchased notebook ca cell machine thanks administrator phone	Purchase
new project code request pixel pin thursday pm code pixel pin hello please form attached thank	Internal Project
pas rights rights dear kind give rights modify unknown pipelines possible asap update forecast greetings	Internal Project
mail account for xerox hello order enable function copy machine created please assist resolving matter thank cooperation best regards administrator	Storage
access request tuesday pm re hello please assign thanks engineer tuesday pm hi log queue kind regards analyst ext hub tuesday pm hi requested colleague got information raised therefore details name user type specialist thank kind regards specialist	Access
new starter tower july assistants starter testing discipline dear please informed candidate accepted job offer testing discipline tester st please create her credentials per attached form thank	HR Support
suspicious mail july suspicious hi received suspicious friday july pm control center user creation hi administrator has created user control center credentials user id regards best wishes senior tester performance lead	Access
assembly pre sales code pm change july assembly pre code hi assembly has handed over please ensure codes related assigned him thanks	Internal Project
new updates available updates available hi guys suggests software download called best endpoint agent install cheers	Administrative rights
share folder wednesday october pm share folder hi collaborative where add folder reports which restricted advice where create folder thanks	Storage
for tools tools hi help create tools code setup please help provide other information thank kind regards programme portfolio officer	Internal Project
for account issues asking for password sent thursday re for hi working today asking for credentials should be address but also wants password accept password did what need use thanks sent for hello please be informed for created for you assigned extension be your address per below example please following guide for for usage you able make external calls via for kind regards rare analyst ext hub	Hardware
re oracle missing no longer part of the system re part dear please help thank lead tuesday november pm part hi dear please help log code november till today thank compliance officer tuesday november pm part hi guys log part cannot log november till today november st log daily which code bench please let comply process taking starting position tomorrow best regards villa senior	Internal Project
pipeline opportunity not imported from wednesday october pm re pipeline opportunity imported hi about where thank floor blvd district wednesday october pm pipeline opportunity imported dear well kindly advise referring old change needs made looking forward hearing thank much best regards analyst ext hub wednesday october pm pipeline opportunity imported hi please create pipeline code named imported thank floor blvd district	Internal Project
days update tuesday july days update hello please help thank administration officer days update hello question days employment date please leave days second date thanks officer blvd floor	HR Support
notification oracle fusion post upgrade issues re post upgrade issues hi please follow hello everyone please advised issues related work schedule fixed submit timecards experience further issues please hesitate thank post upgrade issues importance high hello everyone please advised upgrade release experiencing errors related logging application timecard work schedule currently working resolve these issues update relevant information available apologize caused thank understanding kind regards ext	Administrative rights
new mailbox request wednesday november pm mailbox hi create mailbox mailbox called mailbox mailbox initially please once created how add mailbox roll out automatically instructions shared thanks	Storage
add to mailbox thursday november issue importance high hello received please solving matter thank regards	Storage
project manager for thursday november pm re hi assigned code pm her pm code please let hi please log thank please let further assistance needed kind regards analyst hi guys please update pm thanks please advised requested annual leave make her unavailable client	Internal Project
permissions changed friday november pm re permissions changed hi guys think infrastructure ad please make then replace permissions thanks leader friday november pm re permissions changed hello please advise thank analyst community builder ext hub friday november pm re permissions changed sorry please add infrastructure thanks november permissions changed importance high hi has changed permissions document library please given write permissions please proposals forms view modified thanks infrastructure architect	Storage
permission for all staff mail list tuesday pm permission dear colleagues please provide permission attached type locations communication specialist duties requiring attached type needs friday thank	Miscellaneous
code creation re code creation hi follow also push opportunity code forecast pipeline against client period thanks products transportation id image date tuesday code creation hi please create code both moving proposal attached form vice president client	Internal Project
add security scheme for testing internship md add scheme testing internship hello please creating scheme testing internship assign thank great kind regards engineer	HR Support
receiving that are not intended for him sent monday march lists hi can you please review included apparently receiving receive below best regards sent march lists hi could you please re review list have included by have receiving additional since beginning last week related canada belgium file also external file receive have directed following addresses application americas please could you review details kind regards manager	Hardware
free up space on disk free disk hello please help freeing disk more win upgrade thank senior software developer	Administrative rights
access hello please regarding issue thank kind regards engineer friday october pm hello please report user thanks	Access
lost re lost hi please note found badge evening declared lost please reactivate let until then continue visitor badge thanks wednesday lost hello please advised issued card replacement lost order receive please building encounter issues please let thank kind regards analyst ext hub	Access
work pattern change oracle october pm work pattern change dear please note program changes follows appropriate work pattern type employment salary until hourly made updates please make wherever thank administration officer	Miscellaneous
new pipeline agile development under account oracle hello currently consolidating two separate entities give same permissions currently has please include pre code well also create pipeline agile under give write thanks	Internal Project
outlook issues sent monday july issues hello can you help with issues with when trying log with credentials says correct when trying connect connecting senior tester	Administrative rights
redirect from to redirect hi guys please create redirect links work please keep loop thank	HR Support
