text	label
generic user for pm hello please rise summary generic user assignment assignee owner kind regards engineer pm re how engineer friday pm ca view el la se si si view developer	Access
activate visitor card sent friday december activate visitor card hi guys please can you activate visitor card work common areas stairs main lobby entrance thank you leader en	Access
project notifications by mail by hello please assign thank kind regards analyst november pm re by hi seems same problem kindly ask fix please please restore back by users note users also receive by starting today thank mob	Access
problem with the door third floor across we having difficulties with opening door sometimes needs validate card for or more times	Access
access card issues re starter access card enabling si ca ii la si la ii la et si va manager	Access
test licence test licence hello please provide license thank kind regards analyst ext hub	Access
enable access card for restricted area enable card restricted area please help restricted area thanks senior analyst	Access
password reset needed sent wednesday march unable access dear apologies for delay getting back you please be advised unlocked please advise him clear his cache browsing history try link please let know how goes looking forward hearing you thank you very much kind regards analyst ext hub sent wednesday march re unable access hello sorry bother you again but could you please treat with urgency called back unable work his keeps getting locked every tries access let know if there anything can help kind regards analyst sent wednesday march unable access hello please be advised reported morning unable access being prompted for credentials his keeps getting locked each trying troubleshooting steps taken until following unlock wait minutes clear cache restart browser but with luck ticket logged for issue could you please check issue advise thank you analyst	Access
software license request software license hello user needs license architect please share details how proceed regards administrator	Access
test professional license needed for support dear tester part providing application for needs one test professional license please raise for charge against abeam code thanks manager	Access
access request to confluence tuesday pm announcing hub hi please help friday pm fwd announcing hub begin forwarded date announcing hub director friday pm announcing hub black duck hub lot source software both internally client source brings benefits also introduces risks manage identity source components known vulnerabilities versions vulnerability affected few years ago which licenses apply implications old versions order efficiently questions these bought well known hub product implemented help manage source risks by automating checking needed questions charge more details about tool found confluence how works advice implementing how perform common tasks how communicate findings clients please take information provided discuss teams clients black duck hub manage source offer needed via	Access
service account is needed for queries black duck purposes integrating ad black duck hub allowing user authenticate credentials expiring order run name needs expiring authentication type digest regards	Access
account password change locked out problem sent friday password change locked out problem hello got locked out was asked change password cause was expiring changed laptop web after when tried logging laptop said locked out could you help out with writing laptop where still logged thank you	Access
id card needed sent monday id card needed hello id card broken would need one could you please help with thank you senior tester ext en	Access
mentions and are not working for me tuesday february pm mentions working hello facing problem related type user name comments feature based found users looks corresponding permission belong corresponding user thanks software developer	Access
new account dear create test seems he has problem his he old even he has permissions also created seems has accounts ad best regards engineer	Access
access cards friday re cards importance high good morning understood solved please card allocated colleagues thank best regards friday pm cards dear kindly allocate visitor cards two joiners thanks specialist ext hub	Access
space confluence add new users tuesday pm confluence add users dear kind help users confluence thank sincerely	Access
access to project hi repository thanks	Access
visitor card si activation november visitor card si si ca visitor visitor fie activate si tot	Access
generic user new address wednesday hi test please crated thank head analysis	Access
change password issue tuesday pm change issue dear had issue changing has helped resolve thank help kindly tester	Access
cont git november pm git la git tester	Access
create new users confluence tuesday pm create users confluence hello please create users confluence prod instance internship coming lot work mentioned thank analyst	Access
access hi guys please provide confluence client representatives thanks wednesday pm hi checked please provide log feedback within real lookup architecture thanks cohen senior water street floor ny toll free cohen production option information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete	Access
access to confluence required tuesday pm confluence required hi please allow confluence document repository user thanks	Access
card as available thursday february si la front si	Access
snow instance access march pm snow instance hello instance training purposes starter please help out her groups user please let further details needed thanks lead	Access
account for external user account to process together with thursday pm user good afternoon please create user fond client user role user tester	Access
to for external users name pm users extern extern	Access
oracle fusion access projects project management tuesday pm greetings error cannot because resource application administrator also contract function available please adjust user by replicating user thank kind regards officer	Access
account locked out resolved sent tuesday july locked out resolved hello please open ticket had problem with his ad was locked out had urgent need unlock assisted him thank you engineer ext en	Access
access for edwards and to confluence thursday add confluence hi please add instance confluence cannot users share out both thanks director	Access
add to friday february pm computer added dear please add computer repositories please note issue rather urgent thanks	Access
access cards usage belgrade thursday october pm cards usage hi please offices each location course assign teams order cards defined control which were more than days cards find out these cards were thanks	Access
sn access problem sn access problem hello could you kindly help with password reset for her please attached error she receives when trying log thanks best regards analyst sent tuesday sn access problem hi sd getting attached error message when logging into sn can you please unlock kind regards manager fin building th floor street se please consider environment before printing message should be regarded confidential if you have received error please notify destroy immediately statements intent shall only become binding when confirmed hard copy by signatory contents relate dealings with other companies under control details can be found	Access
access to not working sent wednesday march re access area tower importance high hello regarding request below please be informed cannot access rd th th floor tower with his card sr could you please check once again if was effectively granted access thank you regards officer	Access
set up a address for user ignite friday pm re hey which has by default connected groups needed user needs addresses receive thanks date friday hello please advised created generic guys please details user ignite kindly note unable enable presents itself after loss seen image please valid please groups enable mentioned kind regards analyst ext hub	Access
access to confluence friday pm confluence hi problem confluence insert actual seems tried after received link has via nothing happened received link help thank software tester	Access
urgent cant log into confluence sent wednesday march urgent cant log into confluence importance high below form should take tried correct also suspect locked out director mob fixed your zone	Access
new confluence space confluence hi please allow create confluence thank analyst	Access
account december pm la	Access
account for wednesday february pm	Access
accounts for client friday fwd client please dobson thanks begin forwarded re client date hi please add dobson thank lead	Access
new user request for tuesday november pm user hi kindly create user located please analysis board thanks senior analyst	Access
issue giving admin rights on user issue giving rights user	Access
visual studio subscription friday december pm visual studio subscription hello encounter problems visual studio attached snapshot regards developer december re visual studio subscription hello please kindly perform sign out vs window perform personal id created by please kindly let further assistance needed thanks analyst	Access
account blocked for blocked for hello please take look over for seems blocked she needs her laptop we have workshop starting with best regards test consultant en	Access
now switch license swap from switch license dear please arrange license switching also please assign please keep thread order rights confirmation	Access
request to create a new set of users for project create users hi dear please two tickets requests bellow assign thank best wishes engineer thursday pm re create users hello created users assigned please find doc passwords attached feel free other assistance best wishes engineer thursday create users hi please create by users user rights comments record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users issues logged by questions please let regards head testing hi please create by wednesday users user rights comments record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users record issues bugs cannot other issues logged by other users issues logged by questions please let regards head testing	Access
card card la care vine si ca badge sa si sa sa ii manager	Access
hosting code hosting code hi regarding source control hosting how much take repository cost how much thanks regards	Access
password reset external users friday july pm hi also passwords regards	Access
new account for ad dear please create her credentials note match client please treat high priority thank user hi kindly expedite she out director after once has please her testing dashboard she logs best regards technical fax unit industrial centre cambridge	Access
one note not syncing one note syncing hi one note syncing when try get error feature disabled by your administrator because asking for password please advise use one note across multiple devices thanks head director	Access
enable confluence account for thursday pm enable confluence hello please enable confluence discipline please let more thank	Access
reset password for sent friday november small products hi can you please reset password for thank you sent friday november small products can you help thanks sent november re small products yes accessed while back tried reset password today message got regards pricing manager pricing commercial street web mob sent november re small products have you accessed past have you tried resetting your password asked sent november re small products si trying access confluence getting following error any idea can fix regards pricing manager pricing commercial street web mob sent november small products attached please find short summary where we re got with most information confluence there link would welcome your feedback ll set up short session with you two next week discuss useful please consider environment before printing proud be responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority for your protection telephone calls be recorded monitored information confidential be copied or used only by intended if you have received error please contact immediately by returning please delete disclose any contents anyone responsibility accepted for loss or damage arising viruses or changes made message after was sent	Access
remove user from wednesday user hello please part hard token accessing hosting environment hand over thank software developer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity	Access
license wednesday november pm hi please installing computer thank best regards programme portfolio officer	Access
license needed license needed hello please license best regards lead	Access
leaver access card returned friday february returned card la merci	Access
problem with file transfer from sd card to laptop sent monday problem with sd card hi need transfer some sd card laptop but work want open sd folder pc thank you for your help regards manager	Access
tickets missing for access card retrieval for sent thursday tickets for access card retrieval for dear we had leaver left july but we never received tickets for hardware id card retrieval however with prior his leaving returned assigned hardware access card well please investigate why happened necessary tickets if needed attaching received case you need for tracking purposes thank you engineer ext en	Access
please create ad please create ad hello kind create ad called users add thank kind regards analyst	Access
access to confluence friday confluence hi please confluence kind regards	Access
password reset for com tuesday october pm automatic expire today please note out until friday october st production issue please option	Access
leaver access card si el	Access
confluence space thursday february pm confluence hello dedicated confluence where store needs available write thank	Access
new record for new prod instance wednesday july record prod instance hi create record prod questions please let thank engineer future vacation	Access
visitor cards july pm re visitor cards hello cards deactivated good evening tower rom confidentiality notice content communication represents confidential proprietary information please consider environment printing tuesday july pm visitor cards hello kindly deactivate card visitor visitor visitor visitor thank	Access
quarantine november hi help client work help please by client which expire days done thanks application engineer ext november dear re received pm kb deleted automatically after days change frequency these within log registered under number whose registered old broad street kingdom provide clients each subsidiaries	Access
account thursday hello please log colleague thank senior engineer	Access
internal audit visitor cards review tuesday pm visitor cards review hi please each location where visitor cards make information control matches reality physical cards oms possession discrepancy must corrected appropriately recorded spreadsheet liaise oms each location questions please hesitate thanks information confidential	Access
for account dear please provide install locally copy intern si currently assign he charge automated dashboard needs his tasks develop automated tool uploading logs particular stories within transferring dashboard thanks lot regards	Access
internal audit leavers vs active ad accounts brown sent thursday leavers vs active ad accounts hi noticed leavers their ad accounts enabled if there reason for please disable accounts immediately thanks	Access
please add route to hello please assist add user profile route she connect	Access
license pm license hi please provide license ultimate edition kind regards front developer	Access
confluence is not available confluence available hello colleagues able access confluence please advise best regards tester	Access
tablet cannot onto the laptop cannot onto laptop colleague getting following message upon trying into laptop referenced currently locked out be logged onto would you please have look	Access
sp test had talk regarding sp test user she confirmed needed pm minute user generic sp test	Access
configure access cards reached out change cards interns	Access
users for access thursday july pm users hello please help users comes order same fresh graduates program best regards tester	Access
password for thursday july pm hello site cannot looks cannot remember requested provide by link has arrived please help thank	Access
confluence issue on edit thursday confluence issue hi client encountered issue while editing pages confluence chrome confluence renders height causing usability problems also experienced issue reproducing currently confluence version documentation upgrade higher fix issue please advise feasible solution other actions taken documentation ga pages chrome thank best regards analyst	Access
password warning receiving notification for leaver oracle sent tuesday october password warning dear left please deactivate his thanks head information senior manager frankfurt main frankfurt main sent password warning hello your password about be expired please reset your password id about contact notices terms use your privacy rights for more information about go	Access
cards as damaged tuesday cards hi please enable cards colleagues cards assigned damaged please help ones also want ask cards damaged thank	Access
password reset wednesday july hello guys please log little help configuration mobile device assign queue kind regards engineer ext	Access
confluence admin access to people management space tuesday pm re hi please log please assist come back him mind thank tuesday pm spatial agile	Access
confluence space confluence hello guys confluence help kind information thank design lead	Access
access to confluence confluence bun pot confluence wednesday december re confluence ca user si la thanks wednesday december re confluence bun user merge variant tuesday december pm confluence hello va si facility cine interest tutorial merci officer	Access
add to account team friday re confluence misspelled thursday pm confluence hello please advised find anywhere possible misspelled looking forward hearing thanks kind regards analyst ext hub thursday re confluence hello confluence share members part individually shared colleagues rd party client rather keep otherwise having groups thank wednesday pm confluence hello please advised confluence granted by administrator platform thank understanding assist please hesitate best wishes analyst ext hub wednesday pm re confluence hi please add confluence thank tester tuesday confluence hello please provide confluence once provided add her thank	Access
admin accounts needed accounts needed hello hopefully help allow log infrastructure believe also allow log well help ask thanks infrastructure architect infrastructure	Access
account is locked out on laptop locked out laptop hi getting message when attempting sign laptop reference locked out can you investigate respond urgently please thanks sent mobile	Access
cannot arm the security alarm cannot arm alarm hello two colleagues informed tried arm th floor did work apparently card reader did codes tried with different codes tomorrow cleaning come clean check with her if problem repeats kindest regards sent	Access
confluence access tuesday pm needed hello please pm thanks	Access
admin hello cine pee thank	Access
snow user for snow user hi please create user added please reassign snow license regards	Access
access to all offices wednesday card va ii la administrator	Access
new user accounts service now and sn tuesday user accounts hi please create user accounts press queues please let thank best regards cr discipline lead	Access
site exposed externally mail user creation tuesday pm site exposed externally hi please log highest priority today site exposed order accessed by questions please hesitate best regards	Access
new quarantine account friday hey guys weird part attempt did please thanks kind regards dear has created has quarantined order confirmation kb manage quarantined must create unable button please copy paste browser default locale once then release released deleted automatically after days please further information about please tip multiple addresses link these together single convenience log manage aliases	Access
access to confluence tuesday july pm confluence hi log confluence setting please help create sharing client let thanks	Access
domain admin rights friday rights hello please log assign needs permissions run script test purpose improvement mentioned additional details script required hesitate directly thank regards leader rights hello please advised working improvement automate printer test environment created script tested without issues taking consideration script run please grand rights order create apply test thank best regards engineer	Access
sonar project thursday february sonar hello sonar created meanwhile because swift please update users permissions thanks lead twitter	Access
package for march hi computer reason he license custom package please tickets best regards senior engineer	Access
new ad service account for am team am app monitoring wednesday march ad hi please create user active directory specifications name app monitoring never expires option activated user purposes best regards engineer	Access
open profile for friday november pm re log hi spoke issue user profile never created installed pc please create profile by him working his pc he works atlanta important thanks	Access
repository on git com tuesday february pm re repository git hello completed form want add repository developing automation framework particular thanks friday february pm repository git hi please fill setup form found policies forms fit policies fit procedures proceed logging after complete form kind regards analyst ext hub friday february pm repository git hello please help create repository git name hosting automation framework which developed internally thanks	Access
project license is needed for tuesday re license needed dear please kindly assign thanks analyst tuesday license needed dear please provide license expected period license by latest thanks	Access
can change password on sent monday february can change password dear could you please help change password best regards developer	Access
password reset on re expire days special way date october expire days dear expire days change pc press ctrl alt delete choose change thanks ext	Access
for account friday march pm hello please create he please make communication regarding going user thanks kind regards engineer got feedback friday march engineer friday march re sorry friday march re si care ca merci engineer friday march re id ii si merci friday march re id merci engineer friday march please investigate friday march si	Access
password reset request name	Access
access to confluence pm confluence confluence title thanks	Access
visual studio pro subscription visual studio pro subscription dear please kindly assign thanks analyst wednesday november pm visual studio pro subscription good morning currently vs pro license work please provide license thanks senior analyst automation tester	Access
access card not working sent wednesday access card working importance high dear colleagues please be informed access card working space thank you best regards manager	Access
access resources from tuesday resources hi guys resources resources nexus nexus confluence confluence resources also attached hosts file setup similar setup has by way understand possible without thanks test consultant	Access
lost access card sent wednesday lost access card hi our colleague lost his access card please activate instead card for him thanks manager	Access
repository friday july pm hi please create under name thanks discipline lead	Access
create rule for bogota users friday july pm create rule users hello please order create rule users similar rule thank	Access
access card enabling thursday december pm card dear cantina si va	Access
access to pm hi please required within nexus nexus confluence confluence wireless thank	Access
